Channel Title,Channel Username,ID,Processed_Message,Date,Media Path
Zemen Express®,@ZemenExpress,5361,ዋጋ፦ ብር ውስን ፍሬ ነው ያለው አድራሻ ቁመገናኛ መሰረት ደፋር ሞል ሁለተኛ ፎቅ ቢሮ ቁ ቁፒያሳ ጊዮርጊስ አደባባይ ራመትታቦርኦዳህንፃ ኛ ፎቅ ሱቅ ቁ ፒያሳ ቅርንጫፍ በ ለማዘዝ ይጠቀሙ ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን,2024-09-30 17:06:31+00:00,C:\Users\User\Amharic-LLM-for-Named-Entity-Recognition\data/photos\@ZemenExpress_5361.jpg
Zemen Express®,@ZemenExpress,5360,ዋጋ፦ ብር ውስን ፍሬ ነው ያለው አድራሻ ቁመገናኛ መሰረት ደፋር ሞል ሁለተኛ ፎቅ ቢሮ ቁ ቁፒያሳ ጊዮርጊስ አደባባይ ራመትታቦርኦዳህንፃ ኛ ፎቅ ሱቅ ቁ ፒያሳ ቅርንጫፍ በ ለማዘዝ ይጠቀሙ ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን,2024-09-30 17:06:19+00:00,
Zemen Express®,@ZemenExpress,5359,ውፍራም ቲክነስ ያለው አንደኛው ሕይወትዎንየሚያቀልፕላስተር ቆራርጠን መጠቀም የምንችለዉ በ ሁለቱም ጎን አጣብቆ መያዝ የሚችል ታጥቦ ጥቅም ላይ ሊውል የሚችል ለስራ ቦታ ፣ለኪችንዎ ተመራጭ ዋጋ፦ ሜትር ብር ውስን ፍሬ ነው ያለው አድራሻ ቁመገናኛ መሰረት ደፋር ሞል ሁለተኛ ፎቅ ቢሮ ቁ ቁፒያሳ ጊዮርጊስ አደባባይ ራመትታቦርኦዳህንፃ ኛ ፎቅ ሱቅ ቁ ፒያሳ ቅርንጫፍ በ ለማዘዝ ይጠቀሙ ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን,2024-09-30 13:30:04+00:00,C:\Users\User\Amharic-LLM-for-Named-Entity-Recognition\data/photos\@ZemenExpress_5359.jpg
Zemen Express®,@ZemenExpress,5358,ውፍራም ቲክነስ ያለው አንደኛው ሕይወትዎንየሚያቀልፕላስተር ቆራርጠን መጠቀም የምንችለዉ በ ሁለቱም ጎን አጣብቆ መያዝ የሚችል ታጥቦ ጥቅም ላይ ሊውል የሚችል ለስራ ቦታ ፣ለኪችንዎ ተመራጭ ዋጋ፦ ሜትር ብር ውስን ፍሬ ነው ያለው አድራሻ ቁመገናኛ መሰረት ደፋር ሞል ሁለተኛ ፎቅ ቢሮ ቁ ቁፒያሳ ጊዮርጊስ አደባባይ ራመትታቦርኦዳህንፃ ኛ ፎቅ ሱቅ ቁ ፒያሳ ቅርንጫፍ በ ለማዘዝ ይጠቀሙ ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን,2024-09-30 13:29:56+00:00,
Zemen Express®,@ZemenExpress,5357,,2024-09-30 12:35:43+00:00,C:\Users\User\Amharic-LLM-for-Named-Entity-Recognition\data/photos\@ZemenExpress_5357.jpg
Zemen Express®,@ZemenExpress,5356,,2024-09-30 12:35:43+00:00,C:\Users\User\Amharic-LLM-for-Named-Entity-Recognition\data/photos\@ZemenExpress_5356.jpg
Zemen Express®,@ZemenExpress,5355,,2024-09-30 12:35:43+00:00,C:\Users\User\Amharic-LLM-for-Named-Entity-Recognition\data/photos\@ZemenExpress_5355.jpg
Zemen Express®,@ZemenExpress,5354,ዋጋ፦ ብር ውስን ፍሬ ነው ያለው አድራሻ ቁመገናኛ መሰረት ደፋር ሞል ሁለተኛ ፎቅ ቢሮ ቁ ቁፒያሳ ጊዮርጊስ አደባባይ ራመትታቦርኦዳህንፃ ኛ ፎቅ ሱቅ ቁ ፒያሳ ቅርንጫፍ በ ለማዘዝ ይጠቀሙ ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን,2024-09-30 12:35:43+00:00,C:\Users\User\Amharic-LLM-for-Named-Entity-Recognition\data/photos\@ZemenExpress_5354.jpg
Zemen Express®,@ZemenExpress,5353,ዋጋ፦ ብር ውስን ፍሬ ነው ያለው አድራሻ ቁመገናኛ መሰረት ደፋር ሞል ሁለተኛ ፎቅ ቢሮ ቁ ቁፒያሳ ጊዮርጊስ አደባባይ ራመትታቦርኦዳህንፃ ኛ ፎቅ ሱቅ ቁ ፒያሳ ቅርንጫፍ በ ለማዘዝ ይጠቀሙ ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን,2024-09-30 12:35:20+00:00,
Zemen Express®,@ZemenExpress,5352,ባለብዙጥቅም የመስታወት ጎድጓዳ ሳህኖች ከ ብርጭቆ የተሰራ ለቤተዎ ተጨማሪ ውበትን የሚሰጥ ለሳላድ ለዎጥ ማቅረቢያ ተመራጭ ዋጋ፦ ብር ውስን ፍሬ ነው ያለው አድራሻ ቁመገናኛ መሰረት ደፋር ሞል ሁለተኛ ፎቅ ቢሮ ቁ ቁፒያሳ ጊዮርጊስ አደባባይ ራመትታቦርኦዳህንፃ ኛ ፎቅ ሱቅ ቁ ፒያሳ ቅርንጫፍ በ ለማዘዝ ይጠቀሙ ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን,2024-09-30 09:20:55+00:00,C:\Users\User\Amharic-LLM-for-Named-Entity-Recognition\data/photos\@ZemenExpress_5352.jpg
